epoch,cost
0,13106916364659.265625
10,11038122712031.773438
20,9346038432781.861328
30,7962067135779.623047
40,6830103398641.371094
50,5904258241363.754883
60,5146998776815.912109
70,4527626619104.724609
80,4021033364148.118164
90,3606682689360.694336
100,3267777806545.270508
110,2990580516344.573242
120,2763854258568.221680
130,2578408579530.802734
140,2426726549005.075195
150,2302660022190.288086
160,2201180392547.687012
170,2118174730967.446777
180,2050279046703.256592
190,1994741910435.611572
200,1949312910712.276611
210,1912151421765.096680
220,1881751984130.049316
230,1856883272984.193848
240,1836538179962.253662
250,1819892984758.518066
260,1806273961321.670166
270,1795130064850.232910
280,1786010592313.294678
290,1778546910849.052734
300,1772437513306.361816
310,1767435795077.589600
320,1763340056692.870850
330,1759985326878.679199
340,1757236674585.688965
350,1754983738854.043457
360,1753136254755.541748
370,1751620394033.445068
380,1750375772088.610107
390,1749352999974.516357
400,1748511682158.503662
410,1747818778878.017822
420,1747247266701.422852
430,1746775042992.210693
440,1746384029863.351807
450,1746059441295.878906
460,1745789183710.546631
470,1745563365691.594971
480,1745373896986.717529
490,1745214160526.588623
500,1745078744167.572510
510,1744963221282.374512
520,1744863971303.753662
530,1744778032946.089111
540,1744702984154.367188
550,1744636843913.703613
560,1744577991938.724365
570,1744525102987.005127
580,1744477093133.619141
590,1744433075828.746826
600,1744392325956.917480
610,1744354250440.838867
620,1744318364198.076660
630,1744284270475.879883
640,1744251644766.899658
650,1744220221653.762695
660,1744189784049.157471
670,1744160154395.240234
680,1744131187465.565674
690,1744102764477.744873
700,1744074788278.155273
710,1744047179403.470459
720,1744019872859.376465
730,1743992815485.854980
740,1743965963802.231445
750,1743939282244.629395
760,1743912741724.373047
770,1743886318448.892822
780,1743859992957.338623
790,1743833749331.798096
800,1743807574552.161865
810,1743781457968.437012
820,1743755390869.175049
830,1743729366128.468750
840,1743703377917.243896
850,1743677421467.103760
860,1743651492877.193848
870,1743625588956.228027
880,1743599707093.278564
890,1743573845152.096436
900,1743548001384.678955
910,1743522174360.570312
920,1743496362909.037598
930,1743470566071.781738
940,1743444783064.247559
950,1743419013243.994629
960,1743393256084.814941
970,1743367511155.566650
980,1743341778102.868896
990,1743316056636.933594
